tr2010gj,tr2010ge,tr2020gj,tr2020ge,parea,wt_pop,wt_adult,wt_fam,wt_hh,wt_hu,wt_ownhu,wt_renthu
G3400310256802,34031256802,G3400310256801,34031256801,0.0001109632,0.0015670753,0.0018417934,0.0015120838,0.0019174255,0.0020254401,0.0021746063,0
G3400310256802,34031256802,G3400310256802,34031256802,0.9998885729,0.9984329247,0.9981582066,0.9984879162,0.9980825745,0.9979745599,0.9978253937,1
G3400310256802,34031256802,G3600710014801,36071014801,0.0000004639,0,0,0,0,0,0,0
G3600010000100,36001000100,G3600010000100,36001000100,1,1,1,1,1,1,1,1
G3600010000200,36001000200,G3600010000201,36001000201,0.2982174271,0.5239827985,0.5609756098,0.5064841499,0.5445505171,0.6113438608,0.661971831,0.5205938697
G3600010000200,36001000200,G3600010000202,36001000202,0.6980036908,0.4760172015,0.4390243902,0.4935158501,0.4554494829,0.3886561392,0.338028169,0.4794061303
G3600010000200,36001000200,G3600010001100,36001001100,0.0037788821,0,0,0,0,0,0,0
G3600010000300,36001000300,G3600010000301,36001000301,0.1145473039,0.525810061,0.4693348314,0.5488139717,0.4751505675,0.4703849869,0.3225700931,0.5558699772
G3600010000300,36001000300,G3600010000302,36001000302,0.8854526961,0.474189939,0.5306651686,0.4511860283,0.5248494325,0.5296150131,0.6774299069,0.4441300228
G3600010000401,36001000401,G3600010000401,36001000401,0.9968767287,1,1,1,1,1,1,1
G3600010000401,36001000401,G3600010000404,36001000404,0.0031232713,0,0,0,0,0,0,0
G3600010000403,36001000403,G3600010000403,36001000403,1,1,1,1,1,1,1,1
G3600010000404,36001000404,G3600010000404,36001000404,1,1,1,1,1,1,1,1
G3600010000501,36001000501,G3600010000501,36001000501,1,1,1,1,1,1,1,1
G3600010000502,36001000502,G3600010000502,36001000502,1,1,1,1,1,1,1,1
G3600010000600,36001000600,G3600010000600,36001000600,1,1,1,1,1,1,1,1
G3600010000700,36001000700,G3600010000700,36001000700,1,1,1,1,1,1,1,1
G3600010000800,36001000800,G3600010000800,36001000800,1,1,1,1,1,1,1,1
G3600010001100,36001001100,G3600010001100,36001001100,0.9990071055,1,1,1,1,1,1,1
G3600010001100,36001001100,G3600010002500,36001002500,0.0009928945,0,0,0,0,0,0,0
G3600010001400,36001001400,G3600010001400,36001001400,1,1,1,1,1,1,1,1
G3600010001500,36001001500,G3600010001500,36001001500,1,1,1,1,1,1,1,1
G3600010001600,36001001600,G3600010001600,36001001600,1,1,1,1,1,1,1,1
G3600010001700,36001001700,G3600010001700,36001001700,1,1,1,1,1,1,1,1
G3600010001801,36001001801,G3600010001700,36001001700,0.0000985151,0,0,0,0,0,0,0
G3600010001801,36001001801,G3600010001802,36001001802,0.0005087255,0.0014309713,0.0014422833,0.0012321493,0.0012609982,0.001246211,0.0014987072,0.0006208874
G3600010001801,36001001801,G3600010001803,36001001803,0.2197885392,0.4652052956,0.4624407329,0.486425888,0.4586897104,0.460156264,0.4974451035,0.3543279181
G3600010001801,36001001801,G3600010001804,36001001804,0.7796042203,0.5333637331,0.5361169838,0.5123419627,0.5400492914,0.538597525,0.5010561893,0.6450511945
G3600010001802,36001001802,G3600010001802,36001001802,0.9999716675,1,1,1,1,1,1,1
G3600010001802,36001001802,G3600010001803,36001001803,0.0000283325,0,0,0,0,0,0,0
G3600010001901,36001001901,G3600010001901,36001001901,1,1,1,1,1,1,1,1
G3600010001902,36001001902,G3600010001902,36001001902,1,1,1,1,1,1,1,1
G3600010002000,36001002000,G3600010002000,36001002000,1,1,1,1,1,1,1,1
G3600010002100,36001002100,G3600010002100,36001002100,1,1,1,1,1,1,1,1
G3600010002200,36001002200,G3600010002200,36001002200,1,1,1,1,1,1,1,1
G3600010002300,36001002300,G3600010002300,36001002300,1,1,1,1,1,1,1,1
G3600010002500,36001002500,G3600010001100,36001001100,0.0011839434,0,0,0,0,0,0,0
