Tract,Population,Households,Is_DAC,Vulnerability_Percentile,Pollution_Score,Hazardprox_Score,Cumulative_Burden_Score,Weighted_Burden,Weighted_Burden_Norm
36005000200,4870.0,1425.0,1,66.7,73.33333333333333,66.6,68.87777777777778,335434.7777777778,0.2555938058179324
36005000400,6257.0,2309.0,1,75.68,73.33333333333333,59.4,69.47111111111111,434680.74222222227,0.3312170132041144
36005001600,6177.0,2205.0,1,98.06,74.33333333333333,56.4,76.26444444444444,471085.47333333327,0.3589566048949667
36005001901,2181.0,940.0,1,93.17,76.83333333333333,68.6,79.53444444444445,173464.62333333335,0.13217616714124159
36005001902,1883.0,468.0,1,97.2,76.66666666666667,74.8,82.8888888888889,156079.7777777778,0.1189293032694067
36005002001,4461.0,1774.0,1,99.52,74.83333333333333,68.2,80.85111111111111,360676.80666666664,0.2748276678313444
36005002002,3915.0,1868.0,1,95.37,74.5,66.4,78.75666666666667,308332.35000000003,0.23494236141935224
36005002300,4528.0,1923.0,1,99.88,76.83333333333333,70.2,82.30444444444444,372674.52444444445,0.2839696607047943
36005002500,5642.0,1944.0,1,99.75,76.83333333333333,72.8,83.12777777777778,469006.92222222226,0.3573727953907897
36005002701,3335.0,1159.0,1,99.98,76.83333333333333,71.6,82.80444444444446,276152.8222222223,0.210422280261891
36005002702,5000.0,1530.0,1,99.97,76.66666666666667,72.0,82.8788888888889,414394.4444444445,0.31575930756807824
36005002800,5230.0,2542.0,1,73.15,75.5,63.2,70.61666666666666,369325.1666666666,0.28141752491511995
36005003100,2559.0,1031.0,1,94.73,76.66666666666667,70.4,80.5988888888889,206252.55666666667,0.1571598397380146
36005003300,3559.0,1220.0,1,99.45,76.66666666666667,65.8,80.6388888888889,286993.8055555556,0.2186828673343833
36005003500,3899.0,1478.0,1,99.24,76.5,69.0,81.58,318080.42,0.24237017295155486
36005003700,331.0,188.0,0,78.72,76.66666666666667,72.0,75.79555555555557,25088.328888888893,0.01911674604763629
36005003800,1182.0,366.0,1,96.37,74.83333333333333,63.0,78.06777777777778,92276.11333333333,0.07031233657166724
36005003900,6227.0,2330.0,1,99.91,77.0,72.0,82.97,516654.19,0.39367894882195353
36005004001,1409.0,529.0,1,65.5,74.83333333333333,72.6,70.97777777777777,100007.68888888888,0.07620362439311822
36005004100,6583.0,2444.0,1,99.41,76.66666666666667,69.6,81.89222222222222,539096.4988888889,0.410779486751425
36005004200,8179.0,2922.0,1,88.56,74.66666666666667,64.2,75.80888888888889,620040.9022222222,0.47245731349524156
36005004300,5627.0,2213.0,1,99.52,76.83333333333333,66.4,80.91777777777777,455324.33555555553,0.34694697007018477
36005004400,4592.0,1610.0,1,99.87,75.33333333333333,66.8,80.66777777777777,370426.4355555555,0.282256667202049
36005004600,1763.0,672.0,1,99.62,75.33333333333333,65.8,80.25111111111111,141482.70888888888,0.1078066629283704
36005004800,4261.0,1523.0,1,99.83,75.5,77.0,84.11,358392.71,0.2730872372064789
36005005001,4565.0,1377.0,1,99.77,75.5,70.2,81.82333333333332,373523.5166666666,0.28461657380851346
36005005002,6466.0,1936.0,1,99.55,75.5,77.6,84.21666666666665,544544.9666666666,0.41493109745924833
36005005100,6492.0,2360.0,1,99.72,77.0,73.4,83.37333333333333,541259.68,0.41242778242465616
36005005200,1931.0,820.0,1,94.76,75.33333333333333,70.0,80.0311111111111,154540.07555555555,0.1177560845786935
36005005300,5379.0,1634.0,1,96.98,76.16666666666667,69.0,80.71555555555557,434168.9733333334,0.3308270567455835
36005005400,5715.0,1781.0,1,98.82,75.5,78.2,84.17333333333333,481050.6,0.3665498087573238
36005005600,2311.0,953.0,1,97.38,75.66666666666667,77.8,83.61555555555556,193235.5488888889,0.14724117065925857
36005005902,2938.0,1247.0,1,92.87,76.83333333333333,75.0,81.56777777777778,239646.1311111111,0.18260499732920055
36005006000,1297.0,375.0,1,93.42,75.83333333333333,77.6,82.28444444444445,106722.92444444445,0.08132048384334918
36005006100,3868.0,1943.0,1,73.64,76.83333333333333,65.4,71.95777777777778,278332.6844444444,0.21208328656907124
36005006200,6217.0,2543.0,1,98.8,75.66666666666667,76.4,83.62222222222222,519879.35555555555,0.3961364529132063
36005006301,5845.0,2303.0,1,95.31,76.83333333333333,80.0,84.04777777777777,491259.26111111103,0.37432858042489076
36005006400,3928.0,1383.0,1,98.9,75.66666666666667,74.4,82.9888888888889,325980.35555555555,0.24838974733122318
36005006500,5627.0,2157.0,1,99.44,77.0,64.0,80.14666666666666,450985.2933333333,0.3436407168470404
36005006700,6777.0,2586.0,1,99.29,76.66666666666667,74.8,83.58555555555556,566459.31,0.43162933743208226
36005006800,2493.0,907.0,1,98.45,75.33333333333333,73.6,82.46111111111111,205575.55,0.1566439757848377
36005006900,7118.0,2889.0,1,99.12,77.0,64.0,80.04,569724.7200000001,0.43411750689079254
36005007000,3869.0,1294.0,1,94.73,75.33333333333333,73.4,81.15444444444445,313986.54555555555,0.2392507320971258
36005007100,2872.0,1256.0,1,97.44,76.66666666666667,60.0,78.03555555555556,224118.11555555556,0.1707729964289426
36005007200,6176.0,1651.0,1,89.21,75.0,75.6,79.93666666666667,493688.85333333333,0.3761798754121829
36005007300,4444.0,1535.0,1,99.55,76.66666666666667,70.4,82.20555555555556,365321.4888888889,0.2783668119053651
36005007400,3192.0,1341.0,1,86.45,74.16666666666667,60.6,73.7388888888889,235374.53333333335,0.17935013526576554
36005007500,6670.0,2391.0,1,99.21,76.66666666666667,66.0,80.62555555555555,537772.4555555555,0.40977059531543103
36005007600,5109.0,1868.0,1,98.22,75.66666666666667,75.6,83.16222222222221,424875.7933333333,0.32374586122946225
36005007700,2166.0,570.0,1,98.12,76.33333333333333,66.2,80.21777777777778,173751.70666666667,0.13239491822674224
36005007800,6241.0,1939.0,1,94.19,75.0,73.4,80.86333333333333,504668.0633333333,0.3845457881161822
36005007900,7086.0,2332.0,1,99.91,76.5,69.2,81.86999999999999,580130.82,0.4420467225801806
36005008300,6564.0,2317.0,1,98.5,76.66666666666667,70.4,81.85555555555555,537299.8666666667,0.40941049314147465
36005008400,2811.0,993.0,1,81.25,74.0,62.4,72.55,203938.05,0.15539623737262054
36005008500,5746.0,2148.0,1,99.29,76.5,69.2,81.66333333333334,469237.51333333337,0.3575485006652014
36005008600,4304.0,1591.0,1,98.88,74.16666666666667,64.6,79.21555555555555,340943.7511111111,0.25979152040717207
36005008700,6677.0,2088.0,1,99.89,76.66666666666667,68.6,81.71888888888888,545637.021111111,0.41576321854539544
36005008900,3239.0,1294.0,1,99.7,76.33333333333333,66.4,80.81111111111112,261747.18888888892,0.19944550953681245
36005009000,3692.0,1247.0,1,99.4,74.0,64.6,79.33333333333333,292898.6666666666,0.22318223956469815
36005009200,5959.0,1856.0,1,90.33,75.0,74.4,79.91000000000001,476183.69000000006,0.3628413320820238
36005009301,5066.0,1876.0,1,99.38,76.16666666666667,71.0,82.18222222222222,416335.1377777778,0.3172380725258393
36005009600,2740.0,876.0,1,98.39,74.83333333333333,69.2,80.80777777777779,221413.31111111114,0.16871199587757219
36005009800,4715.0,1638.0,1,95.61,74.83333333333333,65.4,78.61444444444446,370667.1055555556,0.28244005236459463
36005011502,4242.0,1439.0,1,99.69,76.16666666666667,70.6,82.15222222222222,348489.7266666667,0.2655413851756109
36005011701,1509.0,493.0,1,98.98,76.0,67.2,80.72666666666667,121816.54000000001,0.09282148164970357
36005011800,5798.0,1501.0,1,54.21,71.33333333333333,68.0,64.51444444444444,374054.74888888886,0.28502136089216185
36005011900,6159.0,1944.0,1,99.06,76.33333333333333,68.6,81.33111111111111,500918.31333333335,0.3816885623994119
36005012101,3415.0,1030.0,1,99.03,75.83333333333333,75.2,83.35444444444444,284655.4277777778,0.21690107571569112
36005012102,1337.0,522.0,1,99.48,76.0,68.0,81.16000000000001,108510.92000000001,0.08268289650627453
36005012300,4915.0,1699.0,1,94.5,75.83333333333333,68.0,79.44444444444444,390469.44444444444,0.297528992140722
36005012500,4030.0,1386.0,1,96.92,76.16666666666667,70.0,81.0288888888889,326546.42222222226,0.2488210774832084
36005012701,2460.0,780.0,1,98.78,76.33333333333333,71.0,82.03777777777778,201812.93333333332,0.15377694595555616
36005012901,5469.0,1739.0,1,99.75,76.5,64.6,80.28333333333333,439069.55,0.33456118666864615
36005013000,1262.0,449.0,0,63.72,72.33333333333333,66.2,67.41777777777777,85081.23555555556,0.06483000046507728
36005013100,4822.0,2107.0,1,98.92,76.33333333333333,62.8,79.35111111111111,382631.0577777778,0.29155631663915804
36005013200,7249.0,2592.0,1,60.06,72.16666666666667,64.0,65.4088888888889,474149.0355555556,0.36129097085703343
36005013300,6038.0,2272.0,1,96.74,76.5,66.6,79.94666666666666,482717.97333333327,0.3678203099820606
36005013500,3125.0,1479.0,1,98.85,76.5,70.0,81.78333333333333,255572.91666666666,0.1947408520594676
36005013800,2969.0,1205.0,1,74.44,71.66666666666667,65.2,70.43555555555555,209123.16444444444,0.15934717872472767
36005014100,7133.0,2836.0,1,98.15,76.66666666666667,62.0,78.9388888888889,563071.0944444445,0.4290475928839672
36005014300,1715.0,696.0,1,99.54,76.66666666666667,68.2,81.4688888888889,139719.14444444445,0.1064628662262307
36005014400,6253.0,2411.0,1,99.78,72.5,67.0,79.76,498739.28,0.38002818768704455
36005014500,6425.0,2418.0,1,99.91,76.33333333333333,72.4,82.88111111111111,532511.1388888889,0.405761589572629
36005014701,5645.0,2064.0,1,99.6,76.16666666666667,70.4,82.05555555555556,463203.6111111111,0.3529508019914736
36005014702,5232.0,1934.0,1,97.35,76.16666666666667,73.2,82.2388888888889,430273.8666666667,0.3278590724966166
36005014900,4917.0,1485.0,1,99.22,76.16666666666667,76.6,83.99555555555555,413006.14666666667,0.31470145568109864
36005015100,5143.0,2088.0,1,99.51,76.0,72.2,82.57,424657.50999999995,0.3235795342067161
