Tract,Population,Households,PM25,Ozone,Diesel_PM,Toxic_Air_Releases,Percent_HHLeadPaint,Superfund_Prox,RMP_Prox,HazWaste_Prox,WW_Discharge,NO2,DW_Noncomp,Traffic_Prox,Is_DAC,Socioecon_Percentile,HHVuln_Percentile,Minority_Percentile,HouseType_Percentile,Vulnerability_Percentile
36005000200,4870.0,1425.0,47.0,76.0,98.0,36.0,78.0,70.0,0.0,92.0,97.0,86.0,93.0,93.0,1,57.50999999999999,76.35,97.65,42.13,66.7
36005000400,6257.0,2309.0,46.0,76.0,98.0,36.0,41.0,72.0,0.0,91.0,97.0,87.0,93.0,93.0,1,61.67,86.05000000000001,94.88,56.74,75.68
36005001600,6177.0,2205.0,48.0,76.0,97.0,36.0,34.0,64.0,0.0,91.0,96.0,93.0,93.0,94.0,1,87.14,93.86,97.65,97.74000000000001,98.06
36005001901,2181.0,940.0,54.0,72.0,99.0,39.0,61.0,90.0,0.0,99.0,98.0,99.0,93.0,99.0,1,91.53999999999999,70.3,88.19,90.57,93.17
36005001902,1883.0,468.0,53.0,73.0,99.0,39.0,93.0,89.0,0.0,99.0,98.0,98.0,93.0,98.0,1,96.78999999999999,62.21,90.32,98.21,97.2
36005002001,4461.0,1774.0,49.0,75.0,99.0,36.0,81.0,75.0,0.0,92.0,97.0,93.0,93.0,94.0,1,97.45,99.16,98.88,90.19,99.52
36005002002,3915.0,1868.0,48.0,75.0,99.0,36.0,80.0,67.0,0.0,92.0,97.0,92.0,93.0,94.0,1,97.72999999999999,91.55,99.11999999999999,66.47999999999999,95.37
36005002300,4528.0,1923.0,54.0,72.0,99.0,39.0,69.0,90.0,0.0,99.0,98.0,99.0,93.0,98.0,1,96.55,99.53999999999999,99.35000000000001,97.72999999999999,99.88
36005002500,5642.0,1944.0,54.0,73.0,99.0,39.0,84.0,89.0,0.0,98.0,98.0,98.0,93.0,98.0,1,99.55000000000001,94.44,94.15,98.06,99.75
36005002701,3335.0,1159.0,53.0,73.0,99.0,39.0,78.0,89.0,0.0,98.0,98.0,99.0,93.0,98.0,1,97.65,99.81,99.0,98.55000000000001,99.98
36005002702,5000.0,1530.0,53.0,73.0,99.0,39.0,80.0,89.0,0.0,98.0,98.0,98.0,93.0,97.0,1,98.69,95.05,99.45,99.95,99.97
36005002800,5230.0,2542.0,50.0,74.0,99.0,37.0,53.0,78.0,0.0,92.0,97.0,96.0,93.0,97.0,1,29.509999999999998,86.65,98.88,87.46000000000001,73.15
36005003100,2559.0,1031.0,53.0,73.0,99.0,38.0,77.0,86.0,0.0,96.0,98.0,99.0,93.0,97.0,1,92.73,91.55,97.97,77.28,94.73
36005003300,3559.0,1220.0,53.0,73.0,99.0,39.0,50.0,88.0,0.0,98.0,98.0,98.0,93.0,97.0,1,94.22,97.78999999999999,96.86,97.52,99.45
36005003500,3899.0,1478.0,53.0,73.0,99.0,38.0,69.0,87.0,0.0,96.0,98.0,98.0,93.0,96.0,1,93.44,98.74000000000001,96.43,94.99,99.24
36005003700,331.0,188.0,54.0,73.0,99.0,38.0,82.0,88.0,0.0,97.0,98.0,98.0,93.0,96.0,0,54.99000000000001,90.3,94.88,71.48,78.72
36005003800,1182.0,366.0,49.0,75.0,99.0,36.0,66.0,65.0,0.0,91.0,96.0,94.0,93.0,94.0,1,90.74,86.14,97.97,93.21000000000001,96.37
36005003900,6227.0,2330.0,54.0,73.0,99.0,39.0,80.0,89.0,0.0,98.0,98.0,99.0,93.0,97.0,1,98.49,99.52,96.77,97.02,99.91
36005004001,1409.0,529.0,49.0,76.0,96.0,35.0,83.0,64.0,32.0,91.0,96.0,97.0,93.0,97.0,1,41.11,78.23,95.07,61.480000000000004,65.5
36005004100,6583.0,2444.0,54.0,72.0,99.0,39.0,68.0,89.0,0.0,98.0,98.0,98.0,93.0,97.0,1,98.22999999999999,94.86,99.0,95.62,99.41
36005004200,8179.0,2922.0,49.0,75.0,97.0,36.0,69.0,68.0,0.0,91.0,96.0,95.0,93.0,96.0,1,77.5,95.28,99.0,66.29,88.56
36005004300,5627.0,2213.0,54.0,73.0,99.0,39.0,53.0,89.0,0.0,97.0,98.0,98.0,93.0,96.0,1,95.78,98.47,96.98,95.88,99.52
36005004400,4592.0,1610.0,50.0,75.0,97.0,36.0,81.0,69.0,0.0,91.0,96.0,98.0,93.0,97.0,1,92.77,98.0,97.86,99.88,99.87
