Tract,Is_DAC,Pollution_Score,Hazardprox_Score,Vulnerability_Percentile,Cumulative_Burden_Score,Weighted_Burden_Norm,Cluster
36005000200,1,73.33333333333333,66.6,66.7,68.87777777777778,0.2555938058179324,0.0
36005000400,1,73.33333333333333,59.4,75.68,69.47111111111111,0.3312170132041144,0.0
36005001600,1,74.33333333333333,56.4,98.06,76.26444444444444,0.3589566048949667,0.0
36005001901,1,76.83333333333333,68.6,93.17,79.53444444444445,0.13217616714124159,0.0
36005001902,1,76.66666666666667,74.8,97.2,82.8888888888889,0.1189293032694067,0.0
36005002001,1,74.83333333333333,68.2,99.52,80.85111111111111,0.2748276678313444,0.0
36005002002,1,74.5,66.4,95.37,78.75666666666667,0.23494236141935224,0.0
36005002300,1,76.83333333333333,70.2,99.88,82.30444444444444,0.2839696607047943,0.0
36005002500,1,76.83333333333333,72.8,99.75,83.12777777777778,0.3573727953907897,0.0
36005002701,1,76.83333333333333,71.6,99.98,82.80444444444446,0.210422280261891,0.0
36005002702,1,76.66666666666667,72.0,99.97,82.8788888888889,0.31575930756807824,0.0
36005002800,1,75.5,63.2,73.15,70.61666666666666,0.28141752491511995,0.0
36005003100,1,76.66666666666667,70.4,94.73,80.5988888888889,0.1571598397380146,0.0
36005003300,1,76.66666666666667,65.8,99.45,80.6388888888889,0.2186828673343833,0.0
36005003500,1,76.5,69.0,99.24,81.58,0.24237017295155486,0.0
36005003700,0,76.66666666666667,72.0,78.72,75.79555555555557,0.01911674604763629,0.0
36005003800,1,74.83333333333333,63.0,96.37,78.06777777777778,0.07031233657166724,0.0
36005003900,1,77.0,72.0,99.91,82.97,0.39367894882195353,0.0
36005004001,1,74.83333333333333,72.6,65.5,70.97777777777777,0.07620362439311822,0.0
36005004100,1,76.66666666666667,69.6,99.41,81.89222222222222,0.410779486751425,0.0
36005004200,1,74.66666666666667,64.2,88.56,75.80888888888889,0.47245731349524156,0.0
36005004300,1,76.83333333333333,66.4,99.52,80.91777777777777,0.34694697007018477,0.0
